#36864
#36300
#36300
#564
#0
   Index      Gx      Gy      Gz
     250   -1863   -4996   32330
     251   -1133   -5211   32330
     252    -380   -5319   32330
     253     380   -5319   32330
     254    1133   -5211   32330
     255    1863   -4996   32330
     256    2555   -4680   32330
     257    3195   -4269   32330
     258    3770   -3770   32330
     259    4269   -3195   32330
     260    4680   -2555   32330
     261    4996   -1863   32330
     262    5211   -1133   32330
     263    5319    -380   32330
     264    5801     380   32247
     265    5702    1134   32247
     266    5505    1868   32247
     267    5214    2571   32247
     268    4834    3230   32247
     269    4371    3833   32247
     270    3833    4371   32247
     271    3230    4834   32247
     272    2571    5214   32247
     273    1868    5505   32247
     274    1134    5702   32247
     275     380    5801   32247
     276    -380    5801   32247
     277   -1134    5702   32247
     278   -1868    5505   32247
     279   -2571    5214   32247
     280   -3230    4834   32247
     281   -3833    4371   32247
     282   -4371    3833   32247
     283   -4834    3230   32247
     284   -5214    2571   32247
     285   -5505    1868   32247
     286   -5702    1134   32247
     287   -5801     380   32247
     288   -5801    -380   32247
     289   -5702   -1134   32247
     290   -5505   -1868   32247
     291   -5214   -2571   32247
     292   -4834   -3230   32247
     293   -4371   -3833   32247
     294   -3833   -4371   32247
     295   -3230   -4834   32247
     296   -2571   -5214   32247
     297   -1868   -5505   32247
     298   -1134   -5702   32247
     299    -380   -5801   32247
     300     380   -5801   32247
     301    1134   -5702   32247
     302    1868   -5505   32247
     303    2571   -5214   32247
     304    3230   -4834   32247
     305    3833   -4371   32247
     306    4371   -3833   32247
     307    4834   -3230   32247
     308    5214   -2571   32247
     309    5505   -1868   32247
     310    5702   -1134   32247
     311    5801    -380   32247
     312    6282     380   32156
     313    6191    1134   32156
     314    6009    1872   32156
     315    5739    2583   32156
     316    5386    3256   32156
     317    4954    3881   32156
     318    4450    4450   32156
     319    3881    4954   32156
     320    3256    5386   32156
     321    2583    5739   32156
     322    1872    6009   32156
     323    1134    6191   32156
     324     380    6282   32156
     325    -380    6282   32156
     326   -1134    6191   32156
     327   -1872    6009   32156
     328   -2583    5739   32156
     329   -3256    5386   32156
     330   -3881    4954   32156
     331   -4450    4450   32156
     332   -4954    3881   32156
     333   -5386    3256   32156
     334   -5739    2583   32156
     335   -6009    1872   32156
     336   -6191    1134   32156
     337   -6282     380   32156
     338   -6282    -380   32156
     339   -6191   -1134   32156
     340   -6009   -1872   32156
     341   -5739   -2583   32156
     342   -5386   -3256   32156
     343   -4954   -3881   32156
     344   -4450   -4450   32156
     345   -3881   -4954   32156
     346   -3256   -5386   32156
     347   -2583   -5739   32156
     348   -1872   -6009   32156
     349   -1134   -6191   32156
     350    -380   -6282   32156
     351     380   -6282   32156
     352    1134   -6191   32156
     353    1872   -6009   32156
     354    2583   -5739   32156
     355    3256   -5386   32156
     356    3881   -4954   32156
     357    4450   -4450   32156
     358    4954   -3881   32156
     359    5386   -3256   32156
     360    5739   -2583   32156
     361    6009   -1872   32156
     362    6191   -1134   32156
     363    6282    -380   32156
     364    6762     379   32059
     365    6677    1134   32059
     366    6508    1875   32059
     367    6257    2592   32059
     368    5928    3276   32059
     369    5524    3919   32059
     370    5050    4513   32059
     371    4513    5050   32059
     372    3919    5524   32059
     373    3276    5928   32059
     374    2592    6257   32059
     375    1875    6508   32059
     376    1134    6677   32059
     377     379    6762   32059
     378    -379    6762   32059
     379   -1134    6677   32059
     380   -1875    6508   32059
     381   -2592    6257   32059
     382   -3276    5928   32059
     383   -3919    5524   32059
     384   -4513    5050   32059
     385   -5050    4513   32059
     386   -5524    3919   32059
     387   -5928    3276   32059
     388   -6257    2592   32059
     389   -6508    1875   32059
     390   -6677    1134   32059
     391   -6762     379   32059
     392   -6762    -379   32059
     393   -6677   -1134   32059
     394   -6508   -1875   32059
     395   -6257   -2592   32059
     396   -5928   -3276   32059
     397   -5524   -3919   32059
     398   -5050   -4513   32059
     399   -4513   -5050   32059
     400   -3919   -5524   32059
     401   -3276   -5928   32059
     402   -2592   -6257   32059
     403   -1875   -6508   32059
     404   -1134   -6677   32059
     405    -379   -6762   32059
     406     379   -6762   32059
     407    1134   -6677   32059
     408    1875   -6508   32059
     409    2592   -6257   32059
     410    3276   -5928   32059
     411    3919   -5524   32059
     412    4513   -5050   32059
     413    5050   -4513   32059
     414    5524   -3919   32059
     415    5928   -3276   32059
     416    6257   -2592   32059
     417    6508   -1875   32059
     418    6677   -1134   32059
     419    6762    -379   32059
     420    7241     379   31954
     421    7161    1134   31954
     422    7004    1876   31954
     423    6769    2598   31954
     424    6460    3291   31954
     425    6081    3949   31954
     426    5635    4563   31954
     427    5127    5127   31954
     428    4563    5635   31954
     429    3949    6081   31954
     430    3291    6460   31954
     431    2598    6769   31954
     432    1876    7004   31954
     433    1134    7161   31954
     434     379    7241   31954
     435    -379    7241   31954
     436   -1134    7161   31954
     437   -1876    7004   31954
     438   -2598    6769   31954
     439   -3291    6460   31954
     440   -3949    6081   31954
     441   -4563    5635   31954
     442   -5127    5127   31954
     443   -5635    4563   31954
     444   -6081    3949   31954
     445   -6460    3291   31954
     446   -6769    2598   31954
     447   -7004    1876   31954
     448   -7161    1134   31954
     449   -7241     379   31954
     450   -7241    -379   31954
     451   -7161   -1134   31954
     452   -7004   -1876   31954
     453   -6769   -2598   31954
     454   -6460   -3291   31954
     455   -6081   -3949   31954
     456   -5635   -4563   31954
     457   -5127   -5127   31954
     458   -4563   -5635   31954
     459   -3949   -6081   31954
     460   -3291   -6460   31954
     461   -2598   -6769   31954
     462   -1876   -7004   31954
     463   -1134   -7161   31954
     464    -379   -7241   31954
     465     379   -7241   31954
     466    1134   -7161   31954
     467    1876   -7004   31954
     468    2598   -6769   31954
     469    3291   -6460   31954
     470    3949   -6081   31954
     471    4563   -5635   31954
     472    5127   -5127   31954
     473    5635   -4563   31954
     474    6081   -3949   31954
     475    6460   -3291   31954
     476    6769   -2598   31954
     477    7004   -1876   31954
     478    7161   -1134   31954
     479    7241    -379   31954
     480    7718     379   31842
     481    7644    1133   31842
     482    7496    1877   31842
     483    7276    2603   31842
     484    6985    3304   31842
     485    6628    3972   31842
     486    6207    4603   31842
     487    5726    5189   31842
     488    5189    5726   31842
     489    4603    6207   31842
     490    3972    6628   31842
     491    3304    6985   31842
     492    2603    7276   31842
     493    1877    7496   31842
     494    1133    7644   31842
     495     379    7718   31842
     496    -379    7718   31842
     497   -1133    7644   31842
     498   -1877    7496   31842
     499   -2603    7276   31842
     500   -3304    6985   31842
     501   -3972    6628   31842
     502   -4603    6207   31842
     503   -5189    5726   31842
     504   -5726    5189   31842
     505   -6207    4603   31842
     506   -6628    3972   31842
     507   -6985    3304   31842
     508   -7276    2603   31842
     509   -7496    1877   31842
     510   -7644    1133   31842
     511   -7718     379   31842
     512   -7718    -379   31842
     513   -7644   -1133   31842
     514   -7496   -1877   31842
     515   -7276   -2603   31842
     516   -6985   -3304   31842
     517   -6628   -3972   31842
     518   -6207   -4603   31842
     519   -5726   -5189   31842
     520   -5189   -5726   31842
     521   -4603   -6207   31842
     522   -3972   -6628   31842
     523   -3304   -6985   31842
     524   -2603   -7276   31842
     525   -1877   -7496   31842
     526   -1133   -7644   31842
     527    -379   -7718   31842
     528     379   -7718   31842
     529    1133   -7644   31842
     530    1877   -7496   31842
     531    2603   -7276   31842
     532    3304   -6985   31842
     533    3972   -6628   31842
     534    4603   -6207   31842
     535    5189   -5726   31842
     536    5726   -5189   31842
     537    6207   -4603   31842
     538    6628   -3972   31842
     539    6985   -3304   31842
     540    7276   -2603   31842
     541    7496   -1877   31842
     542    7644   -1133   31842
     543    7718    -379   31842
     544    8194     378   31723
     545    8124    1133   31723
     546    7985    1878   31723
     547    7778    2606   31723
     548    7504    3313   31723
     549    7166    3991   31723
     550    6767    4636   31723
     551    6311    5240   31723
     552    5800    5800   31723
     553    5240    6311   31723
     554    4636    6767   31723
     555    3991    7166   31723
     556    3313    7504   31723
     557    2606    7778   31723
     558    1878    7985   31723
     559    1133    8124   31723
     560     378    8194   31723
     561    -378    8194   31723
     562   -1133    8124   31723
     563   -1878    7985   31723
     564   -2606    7778   31723
     565   -3313    7504   31723
     566   -3991    7166   31723
     567   -4636    6767   31723
     568   -5240    6311   31723
     569   -5800    5800   31723
     570   -6311    5240   31723
     571   -6767    4636   31723
     572   -7166    3991   31723
     573   -7504    3313   31723
     574   -7778    2606   31723
     575   -7985    1878   31723
     576   -8124    1133   31723
