#36864
#36864
#36864
#0
#0
   Index      Gx      Gy      Gz
     309  -30461   -4163  -11332
     310    7580   25463   19178
     311   21665  -18794  -15844
     312  -26621  -12242   14666
     313    -150   25675  -20357
     314   28454  -12684   10153
     315  -15951  -14167  -24869
     316   -9571   30826    5641
     317   14392   -1796  -29382
     318  -17098  -27929    1128
     319   -4785    7051   31639
     320   32116    5548   -3383
     321   -4620  -17789   27126
     322  -24741   19979   -7896
     323   21180   10659   22614
     324    1245  -30300  -12408
     325  -25322   10235   18101
     326   20310   19360  -16921
     327    9838  -28146   13589
     328  -24686    2200  -21433
     329   15483   27414    9076
     330   11813  -16152  -25946
     331  -31759   -6645    4564
     332    2623   11791  -30458
     333   26201  -19676      51
     334  -10360   -5680   30562
     335   -2474   32367   -4460
     336   18678   -6795   26050
     337  -22030  -22534   -8973
     338   -8964   23009   21537
     339   29820   -1602  -13485
     340  -12900  -24847   17025
     341  -16932   21518  -17998
     342   29404    7242   12512
     343   -4349  -23410  -22510
     344  -26064   18174    8000
     345   15926    9475  -27023
     346    3625  -32378    3487
     347   -8463    2745  -31535
     348   22056   24210   -1024
     349    5653  -13126   29485
     350  -32290     596   -5537
     351    9106   19159   24973
     352   20137  -23814  -10049
     353  -24619   -6992   20460
     354    4342   29030  -14562
     355   24041  -15534   15948
     356  -22402  -14420  -19074
     357   -4489   30376   11435
     358   21868   -6251  -23587
     359  -20721  -24420    6923
     360   -7208   15234  -28100
     361   32673     547    2410
     362   -1262   -2916  -32612
     363  -21979   24210   -2101
     364   15540    5011   28408
     365   -3626  -31886   -6614
     366  -19247   11496   23896
     367   25311   17583  -11126
     368    4780  -25982   19383
     369  -27946    6934  -15639
     370   18095   22914   14871
     371   11866  -22951  -20151
     372  -31044   -1614   10358
     373    7865   20086  -24664
     374   22499  -23093    5846
     375  -14022   -5073  -29176
     376    2551   32640    1333
     377    6762   -3722   31844
     378  -26111  -19538   -3178
     379   -3894   17648   27332
     380   31164   -6577   -7691
     381  -13914  -18955   22819
     382  -14908   26504  -12203
     383   27072    2366   18307
     384   -9345  -26587  -16716
