#196
#196
#196
#0
#0
   Index      Gx      Gy      Gz
       0       0       0   32767
       1     410   -4650   32432
       2   -6552     659   32098
       3   -1733    7856   31763
       4    6715    6384   31429
       5   10241   -1370   31095
       6    6709   -9078   30760
       7   -1180  -12104   30426
       8   -9104   -9232   30092
       9  -13555   -2095   29757
      10  -12979    6282   29423
      11   -7822   12896   29089
      12      68   15711   28754
      13    8271   14054   28420
      14   14557    8539   28086
      15   17408     684   27751
      16   16260   -7587   27417
      17   11484  -14432   27082
      18    4177  -18459   26748
      19   -4146  -18941   26414
      20  -11897  -15873   26079
      21  -17693   -9887   25745
      22  -20582   -2075   25411
      23  -20146    6240   25076
      24  -16519   13733   24742
      25  -10311   19276   24408
      26   -2481   22090   24073
      27    5833   21819   23739
      28   13481   18551   23405
      29   19454   12765   23070
      30   23004    5247   22736
      31   23719   -3033   22401
      32   21551  -11056   22067
      33   16793  -17869   21733
      34   10030  -22696   21398
      35    2053  -25014   21064
      36   -6242  -24596   20730
      37  -13955  -21515   20395
      38  -20275  -16128   20061
      39  -24560   -9016   19727
      40  -26396    -919   19392
      41  -25622    7345   19058
      42  -22338   14969   18724
      43  -16882   21224   18389
      44   -9789   25531   18055
      45   -1729   27507   17720
      46    6552   26989   17386
      47   14308   24044   17052
      48   20857   18951   16717
      49   25635   12169   16383
      50   28242    4295   16049
      51   28473   -3995   15714
      52   26324  -12006   15380
      53   21987  -19075   15046
      54   15830  -24630   14711
      55    8361  -28232   14377
      56     184  -29604   14043
      57   -8051  -28651   13708
      58  -15703  -25460   13374
      59  -22181  -20288   13039
      60  -26997  -13541   12705
      61  -29794   -5738   12371
      62  -30370    2530   12036
      63  -28694   10646   11702
      64  -24898   18013   11368
      65  -19269   24095   11033
      66  -12223   28456   10699
      67   -4272   30789   10365
      68    4011   30934   10030
      69   12041   28890    9696
      70   19250   24808    9362
      71   25138   18980    9027
      72   29299   11817    8693
      73   31451    3818    8358
      74   31453   -4464    8024
      75   29311  -12465    7690
      76   25175  -19640    7355
      77   19330  -25508    7021
      78   12174  -29677    6687
      79    4189  -31871    6352
      80   -4090  -31948    6018
      81  -12115  -29909    5684
      82  -19355  -25892    5349
      83  -25335  -20165    5015
      84  -29663  -13108    4681
      85  -32060   -5184    4346
      86  -32373    3087    4012
      87  -30584   11169    3677
      88  -26811   18537    3343
      89  -21302   24714    3009
      90  -14414   29304    2674
      91   -6593   32011    2340
      92    1656   32663    2006
      93    9804   31220    1671
      94   17329   27777    1337
      95   23747   22555    1003
      96   28648   15889     668
      97   31720    8206     334
      98   32767       0       0
      99   31720   -8206    -334
     100   28648  -15889    -668
     101   23747  -22555   -1003
     102   17329  -27777   -1337
     103    9804  -31220   -1671
     104    1656  -32663   -2006
     105   -6593  -32011   -2340
     106  -14414  -29304   -2674
     107  -21302  -24714   -3009
     108  -26811  -18537   -3343
     109  -30584  -11169   -3677
     110  -32373   -3087   -4012
     111  -32060    5184   -4346
     112  -29663   13108   -4681
     113  -25335   20165   -5015
     114  -19355   25892   -5349
     115  -12115   29909   -5684
     116   -4090   31948   -6018
     117    4189   31871   -6352
     118   12174   29677   -6687
     119   19330   25508   -7021
     120   25175   19640   -7355
     121   29311   12465   -7690
     122   31453    4464   -8024
     123   31451   -3818   -8358
     124   29299  -11817   -8693
     125   25138  -18980   -9027
     126   19250  -24808   -9362
     127   12041  -28890   -9696
     128    4011  -30934  -10030
     129   -4272  -30789  -10365
     130  -12223  -28456  -10699
     131  -19269  -24095  -11033
     132  -24898  -18013  -11368
     133  -28694  -10646  -11702
     134  -30370   -2530  -12036
     135  -29794    5738  -12371
     136  -26997   13541  -12705
     137  -22181   20288  -13039
     138  -15703   25460  -13374
     139   -8051   28651  -13708
     140     184   29604  -14043
     141    8361   28232  -14377
     142   15830   24630  -14711
     143   21987   19075  -15046
     144   26324   12006  -15380
     145   28473    3995  -15714
     146   28242   -4295  -16049
     147   25635  -12169  -16383
     148   20857  -18951  -16717
     149   14308  -24044  -17052
     150    6552  -26989  -17386
     151   -1729  -27507  -17720
     152   -9789  -25531  -18055
     153  -16882  -21224  -18389
     154  -22338  -14969  -18724
     155  -25622   -7345  -19058
     156  -26396     919  -19392
     157  -24560    9016  -19727
     158  -20275   16128  -20061
     159  -13955   21515  -20395
     160   -6242   24596  -20730
     161    2053   25014  -21064
     162   10030   22696  -21398
     163   16793   17869  -21733
     164   21551   11056  -22067
     165   23719    3033  -22401
     166   23004   -5247  -22736
     167   19454  -12765  -23070
     168   13481  -18551  -23405
     169    5833  -21819  -23739
     170   -2481  -22090  -24073
     171  -10311  -19276  -24408
     172  -16519  -13733  -24742
     173  -20146   -6240  -25076
     174  -20582    2075  -25411
     175  -17693    9887  -25745
     176  -11897   15873  -26079
     177   -4146   18941  -26414
     178    4177   18459  -26748
     179   11484   14432  -27082
     180   16260    7587  -27417
     181   17408    -684  -27751
     182   14557   -8539  -28086
     183    8271  -14054  -28420
     184      68  -15711  -28754
     185   -7822  -12896  -29089
     186  -12979   -6282  -29423
     187  -13555    2095  -29757
     188   -9104    9232  -30092
     189   -1180   12104  -30426
     190    6709    9078  -30760
     191   10241    1370  -31095
     192    6715   -6384  -31429
     193   -1733   -7856  -31763
     194   -6552    -659  -32098
     195     410    4650  -32432
