#256
#192
#192
#64
#0
   Index      Gx      Gy      Gz
       0    4704    4704   32084
       1   -4704    4704   32084
       2   -4704   -4704   32084
       3    4704   -4704   32084
       4   12098    5011   30036
       5    5011   12098   30036
       6   -5011   12098   30036
       7  -12098    5011   30036
       8  -12098   -5011   30036
       9   -5011  -12098   30036
      10    5011  -12098   30036
      11   12098   -5011   30036
      12   18451    4943   26623
      13   13507   13507   26623
      14    4943   18451   26623
      15   -4943   18451   26623
      16  -13507   13507   26623
      17  -18451    4943   26623
      18  -18451   -4943   26623
      19  -13507  -13507   26623
      20   -4943  -18451   26623
      21    4943  -18451   26623
      22   13507  -13507   26623
      23   18451   -4943   26623
      24   23953    4764   21844
      25   20307   13568   21844
      26   13568   20307   21844
      27    4764   23953   21844
      28   -4764   23953   21844
      29  -13568   20307   21844
      30  -20307   13568   21844
      31  -23953    4764   21844
      32  -23953   -4764   21844
      33  -20307  -13568   21844
      34  -13568  -20307   21844
      35   -4764  -23953   21844
      36    4764  -23953   21844
      37   13568  -20307   21844
      38   20307  -13568   21844
      39   23953   -4764   21844
      40   28377       0   16383
      41   26216   10859   16383
      42   20065   20065   16383
      43   10859   26216   16383
      44       0   28377   16383
      45  -10859   26216   16383
      46  -20065   20065   16383
      47  -26216   10859   16383
      48  -28377       0   16383
      49  -26216  -10859   16383
      50  -20065  -20065   16383
      51  -10859  -26216   16383
      52       0  -28377   16383
      53   10859  -26216   16383
      54   20065  -20065   16383
      55   26216  -10859   16383
      56   30299    6026   10922
      57   25686   17163   10922
      58   17163   25686   10922
      59    6026   30299   10922
      60   -6026   30299   10922
      61  -17163   25686   10922
      62  -25686   17163   10922
      63  -30299    6026   10922
      64  -30299   -6026   10922
      65  -25686  -17163   10922
      66  -17163  -25686   10922
      67   -6026  -30299   10922
      68    6026  -30299   10922
      69   17163  -25686   10922
      70   25686  -17163   10922
      71   30299   -6026   10922
      72   32308       0    5461
      73   29849   12364    5461
      74   22845   22845    5461
      75   12364   29849    5461
      76       0   32308    5461
      77  -12364   29849    5461
      78  -22845   22845    5461
      79  -29849   12364    5461
      80  -32308       0    5461
      81  -29849  -12364    5461
      82  -22845  -22845    5461
      83  -12364  -29849    5461
      84       0  -32308    5461
      85   12364  -29849    5461
      86   22845  -22845    5461
      87   29849  -12364    5461
      88   32137    6392       0
      89   27244   18204       0
      90   18204   27244       0
      91    6392   32137       0
      92   -6392   32137       0
      93  -18204   27244       0
      94  -27244   18204       0
      95  -32137    6392       0
      96  -32137   -6392       0
      97  -27244  -18204       0
      98  -18204  -27244       0
      99   -6392  -32137       0
     100    6392  -32137       0
     101   18204  -27244       0
     102   27244  -18204       0
     103   32137   -6392       0
     104   32308       0   -5461
     105   29849   12364   -5461
     106   22845   22845   -5461
     107   12364   29849   -5461
     108       0   32308   -5461
     109  -12364   29849   -5461
     110  -22845   22845   -5461
     111  -29849   12364   -5461
     112  -32308       0   -5461
     113  -29849  -12364   -5461
     114  -22845  -22845   -5461
     115  -12364  -29849   -5461
     116       0  -32308   -5461
     117   12364  -29849   -5461
     118   22845  -22845   -5461
     119   29849  -12364   -5461
     120   30299    6026  -10922
     121   25686   17163  -10922
     122   17163   25686  -10922
     123    6026   30299  -10922
     124   -6026   30299  -10922
     125  -17163   25686  -10922
     126  -25686   17163  -10922
     127  -30299    6026  -10922
     128  -30299   -6026  -10922
     129  -25686  -17163  -10922
     130  -17163  -25686  -10922
     131   -6026  -30299  -10922
     132    6026  -30299  -10922
     133   17163  -25686  -10922
     134   25686  -17163  -10922
     135   30299   -6026  -10922
     136   28377       0  -16383
     137   26216   10859  -16383
     138   20065   20065  -16383
     139   10859   26216  -16383
     140       0   28377  -16383
     141  -10859   26216  -16383
     142  -20065   20065  -16383
     143  -26216   10859  -16383
     144  -28377       0  -16383
     145  -26216  -10859  -16383
     146  -20065  -20065  -16383
     147  -10859  -26216  -16383
     148       0  -28377  -16383
     149   10859  -26216  -16383
     150   20065  -20065  -16383
     151   26216  -10859  -16383
     152   23953    4764  -21844
     153   20307   13568  -21844
     154   13568   20307  -21844
     155    4764   23953  -21844
     156   -4764   23953  -21844
     157  -13568   20307  -21844
     158  -20307   13568  -21844
     159  -23953    4764  -21844
     160  -23953   -4764  -21844
     161  -20307  -13568  -21844
     162  -13568  -20307  -21844
     163   -4764  -23953  -21844
     164    4764  -23953  -21844
     165   13568  -20307  -21844
     166   20307  -13568  -21844
     167   23953   -4764  -21844
     168   18451    4943  -26623
     169   13507   13507  -26623
     170    4943   18451  -26623
     171   -4943   18451  -26623
     172  -13507   13507  -26623
     173  -18451    4943  -26623
     174  -18451   -4943  -26623
     175  -13507  -13507  -26623
     176   -4943  -18451  -26623
     177    4943  -18451  -26623
     178   13507  -13507  -26623
     179   18451   -4943  -26623
     180   12098    5011  -30036
     181    5011   12098  -30036
     182   -5011   12098  -30036
     183  -12098    5011  -30036
     184  -12098   -5011  -30036
     185   -5011  -12098  -30036
     186    5011  -12098  -30036
     187   12098   -5011  -30036
     188    4704    4704  -32084
     189   -4704    4704  -32084
     190   -4704   -4704  -32084
     191    4704   -4704  -32084
     192  -30299   -6026  -10922
     193  -25686  -17163  -10922
     194  -17163  -25686  -10922
     195   -6026  -30299  -10922
     196    6026  -30299  -10922
     197   17163  -25686  -10922
     198   25686  -17163  -10922
     199   30299   -6026  -10922
     200   28377       0  -16383
     201   26216   10859  -16383
     202   20065   20065  -16383
     203   10859   26216  -16383
     204       0   28377  -16383
     205  -10859   26216  -16383
     206  -20065   20065  -16383
     207  -26216   10859  -16383
     208  -28377       0  -16383
     209  -26216  -10859  -16383
     210  -20065  -20065  -16383
     211  -10859  -26216  -16383
     212       0  -28377  -16383
     213   10859  -26216  -16383
     214   20065  -20065  -16383
     215   26216  -10859  -16383
     216   23953    4764  -21844
     217   20307   13568  -21844
     218   13568   20307  -21844
     219    4764   23953  -21844
     220   -4764   23953  -21844
     221  -13568   20307  -21844
     222  -20307   13568  -21844
     223  -23953    4764  -21844
     224  -23953   -4764  -21844
     225  -20307  -13568  -21844
     226  -13568  -20307  -21844
     227   -4764  -23953  -21844
     228    4764  -23953  -21844
     229   13568  -20307  -21844
     230   20307  -13568  -21844
     231   23953   -4764  -21844
     232   18451    4943  -26623
     233   13507   13507  -26623
     234    4943   18451  -26623
     235   -4943   18451  -26623
     236  -13507   13507  -26623
     237  -18451    4943  -26623
     238  -18451   -4943  -26623
     239  -13507  -13507  -26623
     240   -4943  -18451  -26623
     241    4943  -18451  -26623
     242   13507  -13507  -26623
     243   18451   -4943  -26623
     244   12098    5011  -30036
     245    5011   12098  -30036
     246   -5011   12098  -30036
     247  -12098    5011  -30036
     248  -12098   -5011  -30036
     249   -5011  -12098  -30036
     250    5011  -12098  -30036
     251   12098   -5011  -30036
     252    4704    4704  -32084
     253   -4704    4704  -32084
     254   -4704   -4704  -32084
     255    4704   -4704  -32084
